epoch,box,cls,Recall,Precision,mAP@50,mAP
001,3.222,4.719,0.018,0.018,0.008,0.003
002,2.070,3.541,0.092,0.092,0.056,0.029
003,1.854,2.992,0.150,0.150,0.099,0.051
004,1.729,2.652,0.203,0.203,0.161,0.092
005,1.641,2.430,0.244,0.244,0.218,0.130
006,1.589,2.301,0.272,0.272,0.254,0.156
007,1.554,2.216,0.286,0.286,0.279,0.173
008,1.526,2.147,0.306,0.306,0.299,0.189
009,1.507,2.091,0.313,0.313,0.318,0.202
010,1.490,2.059,0.328,0.328,0.330,0.211
011,1.478,2.032,0.336,0.336,0.344,0.222
012,1.464,1.996,0.343,0.343,0.354,0.229
013,1.459,1.980,0.352,0.352,0.362,0.235
014,1.450,1.958,0.351,0.351,0.368,0.240
015,1.445,1.940,0.356,0.356,0.374,0.244
016,1.438,1.922,0.355,0.355,0.378,0.248
017,1.432,1.911,0.362,0.362,0.382,0.251
018,1.424,1.897,0.363,0.363,0.386,0.253
019,1.423,1.886,0.366,0.366,0.388,0.255
020,1.414,1.875,0.369,0.369,0.390,0.257
021,1.415,1.871,0.370,0.370,0.391,0.258
022,1.410,1.856,0.372,0.372,0.393,0.260
023,1.411,1.855,0.373,0.373,0.394,0.261
024,1.405,1.849,0.374,0.374,0.395,0.262
025,1.401,1.835,0.374,0.374,0.396,0.263
026,1.400,1.829,0.374,0.374,0.397,0.264
027,1.399,1.822,0.375,0.375,0.398,0.264
028,1.397,1.822,0.375,0.375,0.399,0.265
029,1.393,1.815,0.377,0.377,0.399,0.265
030,1.395,1.808,0.377,0.377,0.399,0.266
031,1.388,1.804,0.377,0.377,0.400,0.266
032,1.385,1.801,0.379,0.379,0.401,0.267
033,1.385,1.786,0.379,0.379,0.401,0.268
034,1.386,1.792,0.380,0.380,0.403,0.269
035,1.383,1.783,0.383,0.383,0.403,0.269
036,1.381,1.789,0.384,0.384,0.404,0.270
037,1.378,1.782,0.387,0.387,0.405,0.271
038,1.379,1.777,0.386,0.386,0.406,0.271
039,1.378,1.770,0.386,0.386,0.407,0.272
040,1.376,1.773,0.385,0.385,0.407,0.273
041,1.376,1.764,0.387,0.387,0.408,0.273
042,1.372,1.762,0.388,0.388,0.409,0.274
043,1.369,1.763,0.388,0.388,0.411,0.275
044,1.371,1.762,0.387,0.387,0.412,0.276
045,1.370,1.761,0.384,0.384,0.412,0.277
046,1.370,1.752,0.386,0.386,0.413,0.277
047,1.370,1.757,0.385,0.385,0.415,0.278
048,1.368,1.753,0.386,0.386,0.416,0.279
049,1.363,1.748,0.390,0.390,0.416,0.280
050,1.365,1.749,0.388,0.388,0.418,0.281
051,1.368,1.749,0.391,0.391,0.420,0.282
052,1.363,1.737,0.388,0.388,0.421,0.283
053,1.360,1.741,0.392,0.392,0.422,0.284
054,1.362,1.735,0.393,0.393,0.423,0.285
055,1.361,1.739,0.393,0.393,0.424,0.286
056,1.362,1.726,0.394,0.394,0.426,0.287
057,1.361,1.730,0.396,0.396,0.427,0.288
058,1.358,1.728,0.397,0.397,0.428,0.289
059,1.358,1.729,0.399,0.399,0.429,0.289
060,1.356,1.726,0.400,0.400,0.430,0.290
061,1.357,1.726,0.400,0.400,0.431,0.291
062,1.354,1.720,0.400,0.400,0.432,0.292
063,1.355,1.717,0.401,0.401,0.433,0.293
064,1.355,1.718,0.402,0.402,0.435,0.294
065,1.357,1.714,0.403,0.403,0.436,0.295
066,1.352,1.716,0.403,0.403,0.436,0.295
067,1.350,1.711,0.406,0.406,0.437,0.296
068,1.352,1.715,0.407,0.407,0.438,0.297
069,1.350,1.710,0.409,0.409,0.439,0.297
070,1.350,1.714,0.411,0.411,0.439,0.298
071,1.355,1.708,0.411,0.411,0.440,0.299
072,1.351,1.712,0.413,0.413,0.441,0.299
073,1.355,1.710,0.412,0.412,0.441,0.300
074,1.349,1.707,0.412,0.412,0.442,0.300
075,1.350,1.703,0.411,0.411,0.443,0.300
076,1.345,1.704,0.412,0.412,0.444,0.301
077,1.348,1.696,0.412,0.412,0.445,0.302
078,1.348,1.701,0.415,0.415,0.446,0.303
079,1.343,1.698,0.413,0.413,0.446,0.303
080,1.348,1.700,0.413,0.413,0.447,0.304
081,1.344,1.694,0.415,0.415,0.447,0.304
082,1.346,1.699,0.411,0.411,0.447,0.304
083,1.342,1.692,0.412,0.412,0.448,0.305
084,1.344,1.691,0.410,0.410,0.448,0.305
085,1.344,1.698,0.411,0.411,0.449,0.305
086,1.344,1.695,0.413,0.413,0.450,0.306
087,1.341,1.690,0.412,0.412,0.450,0.306
088,1.344,1.691,0.413,0.413,0.451,0.307
089,1.340,1.683,0.411,0.411,0.451,0.307
090,1.338,1.685,0.413,0.413,0.452,0.307
091,1.343,1.689,0.417,0.417,0.452,0.307
092,1.342,1.680,0.419,0.419,0.453,0.308
093,1.340,1.681,0.420,0.420,0.453,0.308
094,1.341,1.685,0.418,0.418,0.454,0.308
095,1.337,1.685,0.415,0.415,0.454,0.309
096,1.335,1.678,0.419,0.419,0.455,0.310
097,1.337,1.678,0.415,0.415,0.455,0.310
098,1.340,1.677,0.415,0.415,0.456,0.311
099,1.337,1.675,0.413,0.413,0.456,0.311
100,1.338,1.675,0.415,0.415,0.456,0.311
101,1.338,1.679,0.414,0.414,0.457,0.312
102,1.337,1.677,0.415,0.415,0.457,0.312
103,1.337,1.675,0.416,0.416,0.457,0.312
104,1.340,1.674,0.415,0.415,0.458,0.313
105,1.333,1.671,0.416,0.416,0.459,0.313
106,1.333,1.675,0.416,0.416,0.459,0.313
107,1.333,1.671,0.414,0.414,0.460,0.313
108,1.336,1.673,0.415,0.415,0.460,0.314
109,1.332,1.665,0.414,0.414,0.460,0.314
110,1.330,1.672,0.417,0.417,0.461,0.315
111,1.334,1.672,0.418,0.418,0.461,0.314
112,1.333,1.671,0.420,0.420,0.461,0.315
113,1.337,1.667,0.421,0.421,0.462,0.315
114,1.332,1.664,0.425,0.425,0.463,0.315
115,1.332,1.671,0.425,0.425,0.463,0.315
116,1.333,1.661,0.426,0.426,0.463,0.316
117,1.332,1.662,0.423,0.423,0.463,0.316
118,1.328,1.659,0.423,0.423,0.463,0.316
119,1.329,1.662,0.427,0.427,0.464,0.317
120,1.328,1.658,0.428,0.428,0.465,0.317
121,1.326,1.656,0.426,0.426,0.465,0.317
122,1.323,1.657,0.427,0.427,0.465,0.317
123,1.327,1.659,0.426,0.426,0.465,0.317
124,1.324,1.659,0.427,0.427,0.465,0.318
125,1.331,1.658,0.429,0.429,0.465,0.318
126,1.327,1.659,0.429,0.429,0.466,0.318
127,1.328,1.657,0.429,0.429,0.466,0.319
128,1.324,1.650,0.429,0.429,0.467,0.319
129,1.330,1.653,0.427,0.427,0.467,0.319
130,1.326,1.649,0.426,0.426,0.467,0.319
131,1.325,1.648,0.428,0.428,0.467,0.319
132,1.324,1.647,0.426,0.426,0.467,0.319
133,1.327,1.652,0.433,0.433,0.468,0.319
134,1.323,1.653,0.433,0.433,0.468,0.319
135,1.322,1.648,0.435,0.435,0.468,0.319
136,1.324,1.649,0.432,0.432,0.469,0.320
137,1.324,1.649,0.432,0.432,0.469,0.320
138,1.324,1.645,0.432,0.432,0.469,0.320
139,1.319,1.644,0.431,0.431,0.469,0.321
140,1.320,1.643,0.430,0.430,0.470,0.321
141,1.322,1.638,0.432,0.432,0.470,0.321
142,1.322,1.646,0.431,0.431,0.470,0.321
143,1.325,1.648,0.433,0.433,0.471,0.322
144,1.322,1.644,0.432,0.432,0.471,0.322
145,1.315,1.638,0.434,0.434,0.471,0.322
146,1.320,1.638,0.434,0.434,0.471,0.322
147,1.319,1.635,0.437,0.437,0.472,0.322
148,1.320,1.638,0.436,0.436,0.472,0.323
149,1.317,1.633,0.435,0.435,0.473,0.323
150,1.315,1.635,0.437,0.437,0.473,0.323
151,1.318,1.637,0.436,0.436,0.473,0.323
152,1.314,1.630,0.440,0.440,0.473,0.323
153,1.317,1.627,0.441,0.441,0.473,0.323
154,1.317,1.628,0.438,0.438,0.473,0.323
155,1.320,1.639,0.441,0.441,0.473,0.324
156,1.315,1.628,0.442,0.442,0.473,0.324
157,1.318,1.633,0.439,0.439,0.473,0.324
158,1.316,1.632,0.441,0.441,0.473,0.324
159,1.316,1.631,0.442,0.442,0.474,0.324
160,1.318,1.628,0.440,0.440,0.474,0.324
161,1.314,1.629,0.442,0.442,0.474,0.324
162,1.315,1.626,0.442,0.442,0.474,0.324
163,1.315,1.623,0.443,0.443,0.474,0.324
164,1.314,1.623,0.442,0.442,0.475,0.324
165,1.316,1.625,0.446,0.446,0.475,0.324
166,1.315,1.625,0.442,0.442,0.475,0.324
167,1.314,1.627,0.443,0.443,0.475,0.325
168,1.313,1.621,0.444,0.444,0.475,0.325
169,1.312,1.622,0.443,0.443,0.476,0.325
170,1.312,1.619,0.446,0.446,0.476,0.326
171,1.315,1.619,0.446,0.446,0.477,0.325
172,1.315,1.623,0.445,0.445,0.477,0.326
173,1.309,1.617,0.444,0.444,0.477,0.326
174,1.313,1.623,0.444,0.444,0.477,0.326
175,1.314,1.619,0.443,0.443,0.477,0.326
176,1.310,1.616,0.443,0.443,0.477,0.326
177,1.312,1.613,0.443,0.443,0.477,0.326
178,1.308,1.615,0.445,0.445,0.477,0.326
179,1.310,1.613,0.449,0.449,0.477,0.326
180,1.308,1.611,0.444,0.444,0.477,0.326
181,1.308,1.614,0.444,0.444,0.477,0.326
182,1.309,1.614,0.444,0.444,0.477,0.326
183,1.306,1.612,0.444,0.444,0.477,0.326
